"Years","Волгоградская область","Ростовоская область","Москва"
"2000","34.91","18.52","39.88"
"2001","32.93","16.56","24.92"
"2002","27.67","19.41","37.16"
"2003","37.77","22.26","34.89"
"2004","34.69","21.01","41.01"
"2005","31.40","19.94","39.88"
"2006","23.71","19.05","33.76"
"2007","24.81","20.3","28.55"
"2008","20.86","16.74","33.76"
"2009","18.44","13.89","31.95"
"2010","18.44","13","30.13"
"2011","17.35","11.75","42.14"
"2012","15.59","15.49","42.14"
"2013","17.78","13.71","41.46"
"2014","13.83","17.09","42.6"
"2015","13.83","17.63","44.63"
"2016","10.76","14.96","36.48"
"2017","10.10","14.6","32.4"
"2018","8","13.2","33.8"
"2019","4.9","17.6","12.1"
"2020","7.7","13.8","13"
"2021","8.8","27.6","13.3"
"2022","8.2","26.4","11.3"
